,en,,ja,,Type,Properties,Level,evalue,Fire,Water,Wind,Earth,Categories,Effect,Item Size,Equipped by,HP,MP,ATK,DEF,SPD,res f,res w,res wi,res e,Locations,Dropped by,index
forbidden-candy,Forbidden Candy,A sinful candy made from apples. It's quite difficult to eat.,禁断のドロップ,リンゴを丸ごと使ったという罪作りなアメ。見た目はすごいがとても食べにくい,Usable,"effect-up-plus,healing-up-plus,time-type-plus,inherit-pp-5,sweet-taboo",35,30,1,1,1,0,"food,,,",,3,",,,,,,,,,,",,,,,,,,,,,,236
pancake-stack,Pancake Stack,"Enough pancakes to feed an army, with a mountain of whipped cream.",山盛りパンケーキ,数人分はあろうかという分量のパンケーキ。さらにクリームが山盛りになっている,Usable,"count-bonus,effect-up,inherit-pp-3,count-bonus-plus,magic-mountain",20,35,0,1,0,1,"food,,,",,5,",,,,,,,,,,",,,,,,,,,,,,237
fruit-ration,Fruit Ration,"An emergency ration made of dried fruit, a block of vitamins.",果実レーション,果実を干して細かくした粒が練り込まれている、簡易的な非常食。栄養のかたまり,Usable,"frame-reinforce-plus,effect-up-plus,frame-compress,fixed-healing-plus,well-preserved",29,30,1,0,0,1,"food,,,",,1,",,,,,,,,,,",,,,,,,,,,,,238
apple-story,Apple Story,Made with various apples from around the world.,世界のリンゴ物語,世界各地にある各種のリンゴを集めたもの。これだけ勢揃いすることはなかなかない,Usable,"area-bonus,effect-up,inherit-pp-3,area-bonus-plus,100-seed-power",40,30,1,1,1,1,"food,,,",,4,"escha,,,,,,,,,,",,,,,,,,,,,,239
squash-tea,Squash Tea,A stimulating drink that is popular among young people.,スカッシュティー,頭にガツンとくる、刺激的なドリンク。若者に人気らしい,Usable,"critical,inherit-pp-3,effect-up-plus,healing-up-plus,tasty-healing",9,15,0,1,1,0,"medicine,,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,240
curing-powder,Curing Powder,Dissolving this powder in water is said to ward off the common cold.,風邪知らずの粉,水に溶かして飲み続けると風邪をひかないと言われている粉,Usable,"count-bonus,effect-up,inherit-pp-3,count-bonus-plus,preventative",10,25,0,0,1,0,"medicine,medic-ing,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,241
veggie-soup,Veggie Soup,A hearty vegetable soup filled with various vegetable extracts.,ベジスープ,各種野菜のエキスがたっぷり溶け込み、良い風味を醸し出している野菜スープ,Usable,"effect-up,critical,time-type,healing-up-plus,tasty-healing",7,10,0,1,0,1,"food,,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,242
refuel-ointment,Refuel Ointment,"A strong healing salve. It's valuable, because it's hard to make.",リフュール軟膏,傷口に塗り込むことで強い回復能力を持つ塗り薬。簡単には作れないため貴重品,Usable,"effect-up-plus,healing-up-plus,30-automatic,inherit-pp-5,heal-deep-wounds",26,30,0,1,0,1,"medicine,,,",,2,",,,,,,,,,,",,,,,,,,,,,,243
medical-bandage,Medical Bandage,A bandage soaked in medicinal compounds that stimulate healing.,薬染包帯,薬効成分を全体に染みこませた包帯で、巻いているだけでケガが治っていく,Usable,"frame-reinforce-plus,effect-up-plus,frame-compress,fixed-healing-plus,analgesic",25,20,1,1,0,1,"medicine,,,",,3,",,,,,,,,,,",,,,,,,,,,,,244
holy-chalice,Holy Chalice,A strong potion that can restore one to life with a single dose.,神水の杯,飲んだり全身に浴びたりすることで、すぐに息を吹き返すほどの強力な水薬,Usable,"healing-up-plus,fixed-healing-plus,inherit-pp-5,critical-plus,miracle-water",32,35,0,1,1,0,"sundry,liquid,,",,5,",,,,,,,,,,",,,,,,,,,,,,245
elixir-base,Elixir Base,A medicine said to be the forerunner of Elixirs. The recipe was lost.,エリキシル源薬,エリキシル剤の原点ともいうべき万能薬。その製法は失われて久しかった,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,elixir-source",50,40,1,1,1,1,"medicine,,,",,3,",,,,,,,,,,",,,,,,,,,,,,246
slag-essence,Slag Essence,A powerful tonic that quickly restores verve.,スラグのエッセンス,やる気や精神力が急速にみなぎってくる劇薬。身体にはよくない,Usable,"quick-use,effect-up,inherit-pp-3,quick-use-plus,slag-wave",21,30,1,0,0,1,"medicine,,,",,3,",,,,,,,,,,",,,,,,,,,,,,247
angel-powder,Angel Powder,Coating the body with this powder bestows divine protection.,エンゼルパウダー,全身にまぶせばまるで天使に守られているかのような様々な加護を得られる粉薬,Usable,"healing-up,fixed-healing,inherit-pp-3,critical,angelic-healing",32,25,1,1,1,0,"medicine,,,",,2,",,,,,,,,,,",,,,,,,,,,,,248
traveler-s-ration,Traveler's Ration,A preserved food invented by people making long journeys.,旅人の糧食,長距離を徒歩で旅する者たちが、体力を回復させるために編み出した特別な保存食,Usable,"effect-up,healing-up,20-automatic,critical,tasty-healing",19,25,1,0,0,1,"food,,,",,2,",,,,,,,,,,",,,,,,,,,,,,249
fruit-pie,Fruit Pie,A large pie topped with fruit. It's quite filling.,フルーツパイ,様々な果物をきれいにトッピングした大きなパイ。すぐにおなかいっぱいになる,Usable,"effect-up-plus,healing-up-plus,time-type-plus,inherit-pp-5,sweet-heal",28,20,1,1,0,1,"food,,,",,1,",,,,,,,,,,",,,,,,,,,,,,250
healthy-ration,Healthy Ration,A nutritious preserved food that does not require cooking.,健康レーション,これさえあれば料理はいらないとさえ感じる、栄養満点の保存食。常備しておきたい,Usable,"effect-up,healing-up,20-automatic,critical,tasty-healing",24,25,1,0,1,1,"food,,,",,3,",,,,,,,,,,",,,,,,,,,,,,251
trad-medicine,Trad. Medicine,A common medicine that steadily heals strength.,伝統煎じ薬,この地方に広く伝わる病気になった時に飲む薬。じわじわと体力が回復していく,Usable,"critical,inherit-pp-3,effect-up-plus,healing-up-plus,preventative",12,15,0,1,1,0,"medicine,,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,252
strong-powder,Strong Powder,A strong powdered medicine that fills the body with brief power.,強壮の粉末,飲むとたちどころに体中に力がみなぎってくる強力な粉薬。しかし長続きはしない,Usable,"critical-plus,inherit-pp-3,effect-up-plus-plus,healing-up-plus-plus,preventative",34,30,0,1,1,1,"medicine,,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,253
rich-potage,Rich Potage,"A rich, thick potage. Its recipe varies from family to family.",濃厚ポタージュ,こってりと味が濃いポタージュ。具材はこだわりがあるのか各家庭ごとに結構違う,Usable,"number-bonus,effect-up,inherit-pp-3,number-bonus-plus,tasty-healing",24,35,1,1,0,0,"food,,,",,1,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,254
cardboard,Cardboard,"Layers of paper pressed into a board. It's very strong, for paper.",多重の板紙,紙が何層も貼り合わせられ、板のような厚さになった紙。紙だがとても丈夫,Synthesis,"defense-6,hp-10,mp-10,defense-9,parameters-7",20,40,0,0,0,1,"paper,fuel,lumber,",50,,",,,,,,,,,,",,,,,,,,,,,,255
iron-clay,Iron Clay,"Hard, heavy clay mixed with iron. Touching it makes your hands filthy.",鉄粘土,鉄分を含んだ、硬めで重い粘土。触り続けていると手が汚れてくる,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",13,30,0,0,0,1,"metal,clay,oil,ore",50,,",,,,,,,,,,",,,,,,,,,,,,256
black-powder,Black Powder,Powder that burns quickly near flame. Too much of it will explode.,黒いパウダー,火を付けると一気に燃え上がる粉。圧縮した状態だと大爆発するため注意,Synthesis,"destruction-up-plus,fixed-increase-plus,inherit-pp-5,area-bonus-plus,frame-reinforce-plus",24,50,1,0,0,0,"gunpowder,smelly,seasoning,",50,,",,,,,,,,,,",,,,,,,,,,,,257
freezing-gas,Freezing Gas,A chilly gas that freezes things if enough is sprayed on it.,凍る気体,空気中に噴霧すると周囲が凍ったように冷たくなる気体。多量にあれば結氷する,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",8,10,0,1,1,0,"gas,,,",50,,",,,,,,,,,,",,,,,,,,,,,,258
spray,Spray,A container of compressed air that can explode if mishandled.,圧縮スプレー,圧縮された空気が詰められたもの。そのため一気に解放すると爆発して危険,Synthesis,"effect-up,inherit-pp-3,frame-compress,recycle,count-compress",7,10,1,0,1,0,"gas,liquid,,",50,,",,,,,,,,,,",,,,,,,,,,,,259
wood-chips,Wood Chips,"Various bits and bobs of wood, used for many things.",木材チップ,様々な木材を、砂利程度の大きさに砕いたもの。様々なものに応用される,Synthesis,"attack-power-6,defense-6,speed-6,mp-10,hp-15",20,20,0,1,1,1,"lumber,fuel,,",50,,",,,,,,,,,,",,,,,,,,,,,,260
iron-plate,Iron Plate,"A sheet of metal. There's nothing remarkable about it, but is useful.",アイアンボード,板状になった金属。これといった特徴はないが使い勝手はいい,Synthesis,"attack-power-3,defense-3,speed-3,mp-5,hp-10",13,20,1,0,0,1,"metal,ore,,",50,,",,,,,,,,,,",,,,,,,,,,,,261
cloth-scraps,Cloth Scraps,"Scraps of cloth. Each piece is small, but there are a lot of them.",布の切れ端,色々な布の切れ端。それぞれは小さいが、縫い合わせれば大きな布に出来るだろう,Synthesis,"defense-3,hp-5,mp-5,defense-6,parameters-5",5,20,0,1,0,0,"cloth,,,",0,,",,,,,,,,,,",,,,,,,,,,,,262
mystery-lantern,Mystery Lantern,A lantern holding a fairy's shining tail. It reveals hidden items.,不可思議ランタン,光る妖精のしっぽを中に入れたランタン。その不思議な光は珍しい物を照らし出す,Synthesis,"destruction-up-plus,healing-up-plus,critical-plus,effect-up-plus-plus,frame-compress",21,45,0,0,0,1,"adventure,fuel,,",,2,",,,,,,,,,,",,,,,,,,,,,,263
plant-nutrients,Plant Nutrients,"If you place this in the ground near a plant, it will grow very quickly.",植物栄養剤,植物の近くの地面に刺しておけば、その植物はめきめき生長してくれる,Synthesis,"destruction-up-plus,healing-up-plus,critical-plus,effect-up-plus-plus,frame-compress",27,45,0,1,0,0,"adventure,liquid,,",,1,",,,,,,,,,,",,,,,,,,,,,,264
dowsing-rod,Dowsing Rod,"If you use this while out, you may find better quality items.",ダウジングロッド,これを使いながら歩けば、いつもより質のよい物を見つけられるかも知れない,Synthesis,"destruction-up-plus,healing-up-plus,critical-plus,effect-up-plus-plus,frame-compress",23,30,0,0,1,1,"adventure,metal,,",,1,",,,,,,,,,,",,,,,,,,,,,,265
beast-king-relief,Beast King Relief,A relief of the king of beasts. A mere glance causes the weak to flee.,獣王のレリーフ,獣の王をかたどったレリーフ。その姿に弱い者は逃げ出すが、強い者には効かない,Synthesis,"speed-6,inherit-pp-5,mp-10,consumption-15,all-stats-4",27,35,0,0,1,1,"adventure,clay,,",,1,",,,,,,,,,,",,,,,,,,,,,,266
heavenly-spirits,Heavenly Spirits,Hold this up and wave it about to instantly be returned home.,天霊の道標,高く掲げ一振りすると目に見えない精霊の道を通り、一瞬にして家に戻ることが出来る,Synthesis,"destruction-up-plus,healing-up-plus,critical-plus,effect-up-plus-plus,frame-compress",30,20,1,1,1,1,"adventure,lumber,,",,2,",,,,,,,,,,",,,,,,,,,,,,267
mixed-lubricant,Mixed Lubricant,"Specialized lubrication oil, used when fitting metal together.",混合差し油,滑りをよくするために特化した油。金属製品のつなぎ目に必要な物だ,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",5,20,1,0,0,0,"fuel,gunpowder,liquid,",,,",,,,,,,,,,",,,,,,,,,,,,268
preserved-tablet,Preserved Tablet,A tablet that can keep raw foods from rotting when placed nearby.,永年防腐錠,生もののそばに置いておくことで腐りにくくさせることが出来る錠剤。食べられない,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",17,15,1,0,1,1,"sundry,medic-ing,smelly,",,,",,,,,,,,,,",,,,,,,,,,,,269
crystal-ball,Crystal Ball,A polished crystal ball. It's used to make tools with magical power.,水晶玉,水晶を磨きつるつるの玉にしたもの。魔力を込めた道具を作るのに使う,Synthesis,"speed-3,inherit-pp-3,mp-5,consumption-10,all-stats-2",15,20,0,1,1,0,"jewel,mystery,,",,,",,,,,,,,,,",,,,,,,,,,,,270
purple-crystal,Purple Crystal,A purple crystal that is oddly mesmerizing. This color is rare.,紫魂の水晶玉,見ていると吸い込まれそうな紫色の水晶玉。ここまでの色になると普通の水晶より希少だ,Synthesis,"speed-6,inherit-pp-5,mp-10,consumption-15,all-stats-4",25,40,1,0,0,0,"jewel,mystery,,",,,",,,,,,,,,,",,,,,,,,,,,,271
yellow-crystal,Yellow Crystal,A rounded yellow gem. A lot of effort went into making it.,黄泉の宝玉,黄色かった鉱石を丸く丹念に磨いた宝玉。手間がかかっている,Synthesis,"speed-9,inherit-pp-7,mp-15,consumption-20,all-stats-6",32,35,0,0,1,1,"jewel,synthesis,,",,,",,,,,,,,,,",,,,,,,,,,,,272
green-crystal,Green Crystal,"A gem with a deep, swampy green color. The color indicates quality.",深緑の玉石,深い沼のような緑色をした宝玉。この色が濃く透明度が高いほど高級とされている,Synthesis,"effect-up-plus,inherit-pp-5,frame-compress-plus,recycle-plus,count-compress-plus",29,30,0,1,1,0,"jewel,synthesis,,",,,",,,,,,,,,,",,,,,,,,,,,,273
comet-crest-stone,Comet Crest Stone,"A stone said to bring grave misfortune, but it's harmless.",赤気紋石,その見た目のため災いを呼ぶといういわれのある石。実際は特に何もない,Synthesis,"high-price-plus-plus,property-enhance-plus,inherit-pp-7,quick-use-plus,frame-expand-plus",39,25,1,1,1,1,"jewel,synthesis,,",,,",,,,,,,,,,",,,,,,,,,,,,274
ancient-scroll,Ancient Scroll,"An old scroll said to have words of wisdom, but it's too old to read.",古文字の巻物,ありがたい言葉が書かれているという古びた巻物。残念ながら古すぎて読めない,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",18,25,0,0,1,1,"paper,antique,fuel,",,,",,,,,,,,,,",,,,,,,,,,,,275
reverent-incense,Reverent Incense,Incense monsters dislike. It's possible to make a safe area by using it.,謹製沈黙香,魔物たちが嫌う香りを出すお香。これにより安全な空間を作り出すことが出来る,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",14,20,1,0,1,0,"smell,gas,,",,,",,,,,,,,,,",,,,,,,,,,,,276
capacitive-paper,Capacitive Paper,Paper that contains electrical power. The power is released by rubbing it.,蓄電紙,雷の力が封じられているという紙。こすることでその力が発現される,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",11,15,0,0,1,1,"paper,fuel,,",,,",,,,,,,,,,",,,,,,,,,,,,277
burning-gas,Burning Gas,Gas that burns when mixed with air. It must be kept sealed tight.,燃える気体,空気に混ざると燃え上がる気体。危ないので厳重に密閉しておかねばならない,Synthesis,"destruction-up-plus,fixed-increase-plus,inherit-pp-5,area-bonus-plus,frame-reinforce-plus",23,30,1,0,1,0,"gas,gunpowder,,",,,",,,,,,,,,,",,,,,,,,,,,,278
sun-flower,Sun Flower,A blood-red stone that shines brightly. It has strong power.,太陽の花,血のように赤く、太陽のように輝く石。錬金術において強い力を持つという,Synthesis,"destruction-up-plus-plus,healing-up-plus-plus,critical-plus-plus,effect-up-plus-plus,frame-compress-plus",41,30,1,1,1,1,"jewel,metal,ancient-power,elixir",,,",,,,,,,,,,",,,,,,,,,,,,279
purifying-liquid,Purifying Liquid,"Magical purifying liquid. It is powerful enough to cause damage, too.",浄化リキッド,色々な物を浄化してきれいに出来る魔法の液体。効果が強いので逆に害を与えることも,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",6,20,0,0,1,0,"medicine,smelly,liquid,",,,",,,,,,,,,,",,,,,,,,,,,,280
precious-stone,Precious Stone,A stone considered valuable. Gems can often be recovered from the interior.,貴石,世間一般に、貴重な石だとされている石。この中から宝石などの細分化がされている,Synthesis,"speed-9,inherit-pp-7,mp-15,consumption-20,all-stats-6",34,30,1,0,1,1,"jewel,,,",,,",,,,,,,,,,",,,,,,,,,,,,281
bi-color-corundum,Bi-color Corundum,A hard gem of two different colors. It's difficult to work with.,双色コランダム,きれいに二色に分かれている、とても堅い宝石。加工も難しく使いどころに悩む,Synthesis,"speed-6,inherit-pp-5,mp-10,consumption-15,all-stats-4",23,30,1,1,0,0,"jewel,synthesis,,",,,",,,,,,,,,,",,,,,,,,,,,,282
polarized-gem,Polarized Gem,A gem that shines with many colors. This effect goes away if polished.,偏光のジェム,光を当てると何色かの色に分かれて見える宝石。磨いてしまうとこの効果は消える,Synthesis,"speed-3,inherit-pp-3,mp-5,consumption-10,all-stats-2",15,20,0,0,1,1,"jewel,synthesis,,",,,",,,,,,,,,,",,,,,,,,,,,,283
abrasive,Abrasive,This powder is rubbed on things to polish them.,研磨剤,この粉をこすりつけて磨くことでピカピカにすることが出来る。金属物にも使える,Synthesis,"high-price,reliable-effect,inherit-pp-5,last-use-bonus,property-enhance",4,15,0,0,0,1,"sundry,,,",,,",,,,,,,,,,",,,,,,,,,,,,284
gold-dust,Gold Dust,A fine golden powder; some of it is real gold and some just yellow.,金粉,金色の細かい粉。本物の金の粉以外にも金色なだけで、正体不明のニセモノもある,Synthesis,"effect-up-plus-plus,inherit-pp-7,frame-compress-plus,recycle-plus-plus,count-compress-plus",36,25,1,1,1,1,"metal,,,",,,",,,,,,,,,,",,,,,,,,,,,,285
multi-patch,Multi-patch,Cloth used for just about anything.,マルチパッチ,あらゆる場面で使える当て布。材料の色が何色でも不思議と違和感なくなじむのが特徴,Synthesis,"defense-3,hp-5,mp-5,defense-6,parameters-5",7,10,0,1,0,1,"sundry,cloth,,",,,",,,,,,,,,,",,,,,,,,,,,,286
five-grain-flour,Five Grain Flour,"Powder made from ground wheat, tubers, and other plants.",五穀の粉,麦やイモなど何種類かの材料をすり潰して粉にしたもの。栄養価が高い,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",4,15,0,0,0,1,"sundry,,,",,,",,,,,,,,,,",,,,,,,,,,,,287
ziegel-nugget,Ziegel Nugget,"A soft, easily workable metal that hardens when heated.",ジーゲルナゲット,加工時は柔らかく扱いやすいが、ひとたび固まると非常に硬くなる金属塊,Synthesis,"attack-power-6,defense-6,speed-6,mp-10,hp-15",22,30,1,0,0,1,"metal,ore,,",,,",,,,,,,,,,",,,,,,,,,,,,288
natural-extract,Natural Extract,Extracts from a variety of plants. The odor is indescribable.,天然エキス,様々な植物からしぼり取った抽出液。何ともいえない臭いがする,Synthesis,"healing-up-plus-plus,fixed-healing-plus-plus,inherit-pp-7,time-type-plus,50-automatic",32,35,0,1,1,0,"natural,liquid,smelly,",,,",,,,,,,,,,",,,,,,,,,,,,289
moon-tablet,Moon Tablet,A stone tablet containing the magic of moonlight.,月のタブレット,月の光の魔力を秘めた石版。手に持つだけで魔法的な力がみなぎると言われている,Synthesis,"attack-power-9,defense-9,speed-9,mp-15,parameters-7",31,25,1,0,1,1,"ore,antique,mystery,ancient-power",,,",,,,,,,,,,",,,,,,,,,,,,290
distilled-water,Distilled Water,Water distilled to absolute purity. It has neither taste nor scent.,蒸留水,蒸留という方法で不純物を取り除いたきれいな水。無味無臭,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",7,20,0,1,0,0,"liquid,,,",,,",,,,,,,,,,",,,,,,,,,,,,291
allgemein-board,Allgemein Board,Treated plywood that does not rot. It's strong and useful.,アルゲマイン板,腐らないような加工を施し、何種類かの木を組み合わせた合板。丈夫なので建材向き,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",11,30,0,0,0,1,"sundry,lumber,,",,,",,,,,,,,,,",,,,,,,,,,,,292
magic-fiber,Magic Fiber,Strong thread that cannot be cut easily. It moves about on its own.,魔法の繊維,簡単に切ることが出来ない丈夫な糸。魔法の力で勝手に動く,Synthesis,"defense-6,hp-10,mp-10,defense-9,parameters-7",29,20,1,0,1,1,"sundry,string,,",,,",,,,,,,,,,",,,,,,,,,,,,293
automatic-drive,Automatic Drive,An axle that rotates by itself. Attach other parts to gain power.,自動駆動輪,自分で勝手に回り続ける回転軸。ここに別の部品を組むことで大きな力を生み出せる,Synthesis,"high-price-plus-plus,property-enhance-plus,inherit-pp-7,quick-use-plus,frame-expand-plus",35,30,1,1,1,1,"sundry,metal,ancient-power,",,,",,,,,,,,,,",,,,,,,,,,,,294
zettel,Zettel,Handmade paper made from plants. It still has some of the colors...,ゼッテル,色々な植物が材料に使われている手すきの紙。うっすらと材料の色が付いている,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",5,20,0,0,1,0,"paper,fuel,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,295
leather,Leather,"Material made from animal hides and oil, used to make leather goods.",なめし革,動物の皮を油などを使って伸ばしたもの。皮革製品の材料として広く使われる,Synthesis,"defense-3,hp-5,mp-5,defense-6,parameters-5",9,15,1,0,0,1,"cloth,smelly,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,296
powdered-glass,Powdered Glass,"Tiny bits of powdered glass. It can be used, or melted down.",粉末ガラス,粉々になったガラスのかけら。このまま装飾材料に使ったり、溶かして再利用する,Synthesis,"speed-3,inherit-pp-3,mp-5,consumption-10,all-stats-2",8,10,1,0,0,1,"synthesis,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,297
handmade-pottery,Handmade Pottery,"Handmade pottery. Each piece has a different shape, but unique charm.",お手製陶器,個人の手で作った陶器。入れ物として使う。一つ一つ形や出来が違うが、それも味だ,Synthesis,"attack-power-3,defense-3,speed-3,mp-5,hp-10",11,30,0,0,0,1,"sundry,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,298
pressed-oil,Pressed Oil,Natural oil extracted from plants. The color and odor can vary.,自然の絞り油,植物などからしぼり取った、天然由来の油。材料によって色や臭いに差が出る,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",5,20,1,0,0,0,"oil,gunpowder,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,299
glass-rod,Glass Rod,"Transparent rods made of glass, used as stirring tools or remelted.",ガラスの棒,ガラス製の透明な棒。何かをかき混ぜる道具としての他、溶かして再利用することもある,Synthesis,"attack-power-3,defense-3,speed-3,mp-5,hp-10",12,15,1,0,0,1,"synthesis,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,300
dried-herbs,Dried Herbs,Dried leaves that can be used as seasoning or in potpourri.,ドライハーブ,香草を乾燥させたもの。香りを楽しむ他、香り付けとして料理に使うことも出来る,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",4,15,0,0,1,0,"plant,smell,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,301
honey,Honey,Honey harvested from beehives. This sweet food is used in Colseit.,ハチミツ,蜜バチの巣から採れる。貴重な甘い調味料としてコルセイトではよく使われている,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",6,20,0,1,0,0,"liquid,seasoning,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,302
strong-yarn,Strong Yarn,Strong wooly thread made from bundling up many strands.,丈夫な毛糸,毛糸を何本も束ねたかなり強く引っ張らないと切れないくらい頑丈な毛糸,Synthesis,"attack-power-3,defense-3,speed-3,mp-5,hp-10",19,25,0,0,1,1,"string,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,303
fluffy-whip,Fluffy Whip,Whipped cream as soft as the downy fuzz on an unshaven baby.,ふんわりホイップ,子供のほっぺたのような柔らかさに仕上げられたホイップクリーム,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",8,10,0,1,0,1,"food,oil,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,304
melty-metal,Melty Metal,A soft metal that is easier to work with than most other metals.,メルト鉄鋼,金属なのにどろどろに溶けていて柔らかい。普通の金属より加工はしやすそうだ,Synthesis,"attack-power-6,defense-6,speed-6,mp-10,hp-15",26,20,1,1,0,1,"metal,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,305
polished-crystal,Polished Crystal,"A raw crystal, polished until you can see your face in it.",磨いた水晶,水晶の原石の表面を丹念に磨いたもの。顔が映り込むほどにつやつやに光っている,Synthesis,"high-price,reliable-effect,inherit-pp-5,last-use-bonus,property-enhance",16,20,0,0,1,1,"jewel,synthesis,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,306
medical-solution,Medical Solution,A concentrated medical fusion. Extracting it could be potent.,メディカ溶液,薬効成分が高い濃度で溶け込んでいる液体。上手く抽出すれば強い薬の材料になるだろう,Synthesis,"healing-up-plus-plus,fixed-healing-plus-plus,inherit-pp-7,time-type-plus,50-automatic",33,20,1,1,1,1,"medicine,liquid,mystery,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,307
neutralizer-r,Neutralizer-R,A red chemical used to stabilize highly reactive Synthesis.,中和剤・赤,強い反応をする調合をする時に安定化させるために使う薬品。全体的に赤みを帯びている,Synthesis,"destruction-up,fixed-increase,inherit-pp-3,area-bonus,frame-reinforce",2,15,1,0,0,0,"supplement,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,308
neutralizer-b,Neutralizer-B,A blue chemical used to stabilize highly reactive Synthesis.,中和剤・青,強い反応をする調合をする時に安定化させるために使う薬品。青白く澄んでいる,Synthesis,"healing-up,fixed-healing,inherit-pp-3,number-bonus,reliable-effect-plus",2,15,0,1,0,0,"supplement,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,309
neutralizer-g,Neutralizer-G,A green chemical used to stabilize highly reactive Synthesis.,中和剤・緑,強い反応をする調合をする時に安定化させるために使う薬品。全体的に緑色っぽい,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",2,15,0,0,1,0,"supplement,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,310
neutralizer-y,Neutralizer-Y,A yellow chemical used to stabilize highly reactive Synthesis.,中和剤・黄,強い反応をする調合をする時に安定化させるために使う薬品。うっすらと黄色い,Synthesis,"effect-up,inherit-pp-3,frame-compress,recycle,count-compress",2,15,0,0,0,1,"supplement,,,",,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,,,311
windmill-parts,Windmill Parts,Spare parts needed to repair a damaged windmill.,風車のパーツ,破損して動かなくなってしまった風車を動かすために必要な、換えのパーツ,Synthesis,"destruction-up,healing-up,critical,effect-up-plus,frame-compress",3,15,0,0,0,1,"metal,,,",,,",,,,,,,,,,",,,,,,,,,,,,312
flight-gas-jar,Flight Gas Jar,"A mysterious urn that constantly emits buoyant gas, used on airships.",飛翔のガス壺,飛行船の船体を浮かすために必要な、空に浮かぶ空気を出し続ける、不思議な壷,Synthesis,"high-price-plus,reliable-effect-plus,inherit-pp-5,last-use-bonus-plus,property-enhance-plus",15,20,1,0,1,0,"gas,,,",,,",,,,,,,,,,",,,,,,,,,,,,313
spirit-gem,Spirit Gem,A beautiful gem offered to powerful spirits in the past.,精霊の宝玉,かつて魔法使いたちが強大な精霊に捧げるために作ったらしい、とてもキレイな宝玉,Synthesis,"speed-6,inherit-pp-5,mp-10,consumption-15,all-stats-4",20,40,1,0,0,0,"jewel,mystery,,",,,",,,,,,,,,,",,,,,,,,,,,,314
3rd-gen-engine,3rd Gen Engine,A great power created through high-level alchemy.,第三世代型動力,非常に高度な錬金術の技術で作られた動力。調合も難しいが、設計して組み込むのが困難,Synthesis,,35,25,1,1,1,1,"key,ancient-power,,",,,",,,,,,,,,,",,,,,,,,,,,,315
